0.--n643(val: 1, idx: 348)--n761(val: 1, idx: 399)--n606(idx: 422);
966.--n583(val: 1, idx: 373)--n700(val: 0, idx: 214)--G2585(idx: 400);
967.--n645(val: 0, idx: 363)--n709(val: 0, idx: 384)--n587(idx: 412);
968.--n679(val: 0, idx: 349)--n700(val: 0, idx: 214)--n560(idx: 387);
969.--n702(val: 1, idx: 241)--n757(val: 1, idx: 183)--n548(idx: 304);
970.--n683(val: 0, idx: 376)--n758(val: 1, idx: 219)--n597(idx: 416);
971.--n641(val: 0, idx: 330)--n702(val: 1, idx: 241)--n549(idx: 355);
972.--n618(val: 0, idx: 329)--n762(val: 1, idx: 403)--n615(idx: 425);
973.--n489(val: 0, idx: 378)--n762(val: 1, idx: 403)--n619(idx: 426);
974.--n647(val: 1, idx: 375)--n744(val: 1, idx: 334)--n606(idx: 422);
975.--n615(val: 1, idx: 425)--n744(val: 1, idx: 334)--G2591(idx: 427);
976.--n704(val: 0, idx: 389)--n759(val: 1, idx: 244)--n587(idx: 412);
977.--n583(val: 1, idx: 373)--n605(val: 1, idx: 346)--n594(idx: 417);
978.--n490(val: 0, idx: 385)--n705(val: 1, idx: 394)--n587(idx: 412);
979.--n700(val: 0, idx: 214)--n708(val: 0, idx: 366)--n761(idx: 399);
980.--n487(val: 0, idx: 352)--n489(val: 0, idx: 378)--n600(idx: 420);
981.--n484(val: 1, idx: 322)--n641(val: 0, idx: 330)--n647(idx: 375);
982.--n561(val: 1, idx: 393)--n643(val: 1, idx: 348)--n566(idx: 402);
983.--n618(val: 0, idx: 329)--n748(val: 1, idx: 350)--n683(idx: 376);
984.--n583(val: 1, idx: 373)--n619(val: 0, idx: 426)--G2591(idx: 427);
985.--n615(val: 1, idx: 425)--n709(val: 0, idx: 384)--G2591(idx: 427);
986.--n661(val: 0, idx: 240)--n762(val: 1, idx: 403)--n585(idx: 413);
987.--n484(val: 1, idx: 322)--n758(val: 1, idx: 219)--n600(idx: 420);
988.--n661(val: 0, idx: 240)--n705(val: 1, idx: 394)--G2591(idx: 427);
989.--n485(val: 0, idx: 339)--n585(val: 1, idx: 413)--G2591(idx: 427);
990.--n489(val: 0, idx: 378)--n681(val: 1, idx: 364)--n613(idx: 424);
991.--n702(val: 1, idx: 241)--n758(val: 1, idx: 219)--n740(idx: 317);
992.--n590(val: 0, idx: 360)--n684(val: 1, idx: 383)--n706(idx: 388);
993.--n618(val: 0, idx: 329)--n661(val: 0, idx: 240)--G2588(idx: 391);
994.--n590(val: 0, idx: 360)--n645(val: 0, idx: 363)--n762(idx: 403);
995.--n748(val: 1, idx: 350)--n758(val: 1, idx: 219)--n681(idx: 364);
996.--n619(val: 0, idx: 426)--n759(val: 1, idx: 244)--G2591(idx: 427);
997.--n618(val: 0, idx: 329)--n703(val: 0, idx: 287)--n568(idx: 404);
998.--n683(val: 0, idx: 376)--n705(val: 1, idx: 394)--n565(idx: 397);
999.--n647(val: 1, idx: 375)--n683(val: 0, idx: 376)--n684(idx: 383);
